iter	Passed	Remaining
0	56	56890
1	57	28539
2	57	19074
3	57	14352
4	57	11517
5	58	9627
6	58	8272
7	58	7259
8	58	6469
9	58	5838
10	59	5321
11	59	4894
12	59	4529
13	59	4216
14	60	3946
15	60	3708
16	60	3504
17	60	3318
18	61	3150
19	61	3001
20	61	2865
21	61	2740
22	61	2628
23	62	2525
24	62	2430
25	62	2344
26	62	2263
27	63	2187
28	63	2118
29	63	2053
30	63	1992
31	63	1934
32	64	1880
33	64	1830
34	64	1781
35	64	1736
36	65	1693
37	65	1655
38	65	1616
39	65	1579
40	66	1544
41	66	1509
42	66	1477
43	66	1446
44	66	1418
45	67	1390
46	67	1363
47	67	1338
48	67	1313
49	67	1290
50	68	1267
51	68	1245
52	68	1224
53	68	1205
54	68	1185
55	69	1165
56	69	1147
57	69	1130
58	69	1112
59	69	1096
60	70	1081
61	70	1066
62	70	1051
63	70	1037
64	71	1023
65	71	1009
66	71	996
67	71	982
68	71	970
69	72	958
70	72	946
71	72	935
72	72	924
73	72	913
74	73	902
75	73	892
76	73	884
77	73	874
78	74	864
79	74	855
80	74	846
81	74	837
82	75	828
83	75	820
84	75	810
85	75	802
86	75	793
87	75	786
88	76	778
89	76	770
90	76	763
91	76	756
92	76	749
93	77	743
94	77	736
95	77	729
96	77	723
97	77	717
98	78	711
99	78	705
100	78	699
101	78	692
102	78	687
103	79	681
104	79	675
105	79	670
106	79	665
107	79	659
108	80	655
109	80	650
110	80	645
111	80	640
112	81	636
113	81	631
114	81	626
115	81	621
116	81	617
117	82	613
118	82	608
119	82	604
120	82	600
121	82	596
122	82	591
123	83	587
124	83	583
125	83	579
126	83	576
127	83	571
128	84	567
129	84	564
130	84	560
131	84	557
132	84	553
133	85	550
134	85	546
135	85	543
136	85	540
137	85	536
138	86	533
139	86	530
140	86	527
141	86	524
142	87	522
143	87	519
144	87	516
145	87	513
146	87	510
147	88	507
148	88	504
149	88	501
150	88	498
151	88	495
152	89	493
153	89	490
154	89	487
155	89	485
156	89	482
157	90	480
158	90	478
159	90	475
160	90	473
161	90	470
162	91	468
163	91	465
164	91	463
165	91	461
166	92	458
167	92	457
168	92	455
169	92	452
170	92	450
171	93	448
