iter	Passed	Remaining
0	57	57762
1	58	28971
2	58	19372
3	58	14573
4	58	11691
5	58	9771
6	59	8410
7	59	7378
8	59	6577
9	59	5936
10	60	5412
11	60	4975
12	60	4604
13	60	4291
14	61	4017
15	61	3776
16	61	3562
17	61	3373
18	62	3205
19	63	3088
20	63	2950
21	63	2822
22	63	2707
23	63	2600
24	64	2502
25	64	2412
26	64	2328
27	64	2253
28	65	2180
29	65	2112
30	65	2049
31	65	1988
32	65	1933
33	66	1881
34	66	1831
35	66	1785
36	66	1740
37	67	1699
38	67	1659
39	67	1621
40	67	1584
41	67	1550
42	68	1519
43	68	1487
44	68	1457
45	68	1428
46	69	1400
47	69	1376
48	69	1351
49	69	1327
50	70	1304
51	70	1281
52	70	1259
53	70	1240
54	71	1220
55	71	1200
56	71	1182
57	71	1164
58	71	1147
59	72	1130
60	72	1115
61	72	1099
62	72	1083
63	73	1068
64	73	1054
65	73	1039
66	73	1026
67	73	1012
68	74	999
69	74	986
70	74	974
71	74	962
72	74	950
73	75	939
74	75	927
75	75	916
76	75	906
77	75	896
78	76	886
79	76	876
80	76	867
81	76	857
82	76	848
83	76	839
84	77	830
85	77	822
86	77	814
87	77	806
88	77	798
89	78	790
90	78	783
91	78	776
92	78	768
93	79	761
94	79	754
95	79	748
96	79	741
97	79	734
98	80	728
99	80	721
100	80	715
101	80	710
102	80	704
103	81	698
104	81	692
105	81	687
106	81	682
107	81	676
108	82	671
109	82	666
110	82	661
111	82	656
112	82	651
113	83	646
114	83	642
115	83	637
116	83	632
117	84	628
118	84	623
119	84	620
120	85	618
121	85	614
122	85	610
123	85	606
124	85	601
125	86	597
126	86	593
127	86	590
128	86	586
129	87	582
130	87	579
131	87	575
132	87	571
133	87	567
134	88	565
135	88	561
136	88	558
137	88	554
138	89	551
139	89	548
140	89	544
141	89	541
142	89	537
143	90	535
144	90	531
145	90	528
146	90	525
147	90	522
148	90	519
149	91	516
150	91	513
151	91	510
152	91	508
153	92	505
154	92	502
155	92	499
156	92	497
157	92	494
158	93	492
159	93	489
160	93	486
161	93	483
162	93	481
163	94	479
164	94	476
165	94	474
166	94	472
167	94	469
168	95	467
169	95	465
170	95	462
171	95	460
172	96	458
173	96	456
174	96	454
175	96	452
176	96	450
177	97	447
178	97	445
179	97	443
180	97	441
181	97	439
182	98	437
183	98	436
184	98	434
185	99	433
186	99	431
187	99	429
188	99	428
189	100	426
190	100	424
191	100	422
192	100	420
193	100	419
194	101	417
195	101	415
196	101	413
197	101	412
198	102	410
199	102	408
200	102	407
201	102	405
202	102	403
203	103	402
204	103	401
205	103	399
206	103	398
207	104	396
208	104	394
209	104	393
210	104	391
211	104	390
212	105	388
213	105	387
214	105	385
215	105	384
216	106	382
217	106	381
218	106	380
219	106	378
220	107	377
221	107	375
222	107	374
223	107	373
224	107	371
225	108	370
226	108	368
227	108	367
228	108	366
229	108	364
230	109	363
231	109	362
232	109	360
233	109	359
234	110	358
235	110	356
236	110	355
237	110	354
238	110	353
239	111	351
240	111	351
241	111	349
242	111	348
243	112	347
244	112	346
245	112	345
246	112	344
247	113	342
248	113	342
249	113	340
250	113	339
251	114	338
